mode,game,total_BB,total_RB,total_grape,total_samai,max_samai,max_game,min_samai,min_game
5,2000,8,9,350,865,1264,1535,-466,441
5,2000,10,9,307,1081,1192,1859,-879,1133
5,2000,3,5,313,-1364,0,0,-1365,2007
5,2000,6,9,322,14,791,609,-166,1420
5,2000,10,9,327,1292,1316,2008,-232,259
5,2000,7,6,338,17,306,8,-734,1020
5,2000,7,8,338,444,719,1791,-158,104
5,2000,9,10,323,991,1188,1887,-136,80
5,2000,5,4,333,-796,139,487,-1249,1763
5,2000,13,2,323,1467,1960,1685,-405,551
5,2000,5,8,348,-246,12,3,-1183,1595
5,2000,3,5,337,-1192,0,0,-1514,1933
5,2000,8,8,321,525,741,313,-248,1129
5,2000,7,10,337,599,779,1906,-144,806
5,2000,9,5,311,456,935,1432,-107,912
5,2000,8,1,321,-255,563,490,-397,1348
5,2000,11,10,337,1749,1769,2006,-15,12
5,2000,8,2,354,111,144,1990,-698,540
5,2000,9,6,328,694,1370,1287,-128,71
5,2000,4,4,341,-1006,5,3,-1265,1795
5,2000,4,6,344,-806,452,319,-806,2018
5,2000,5,8,316,-443,400,24,-987,1771
5,2000,14,10,329,2549,2810,1769,-67,35
5,2000,11,10,334,1637,1735,1944,-428,286
5,2000,6,5,296,-615,293,1056,-729,607
5,2000,9,6,338,667,965,1795,-429,641
5,2000,9,3,367,610,642,769,-587,414
5,2000,5,6,357,-329,0,0,-1160,1617
5,2000,4,8,308,-758,0,0,-1206,1569
5,2000,10,8,345,1203,1234,2010,-112,85
5,2000,3,10,320,-864,380,702,-864,2012
5,2000,4,7,344,-680,622,769,-680,2014
5,2000,12,5,321,1508,1508,2022,-377,270
5,2000,4,15,308,-143,221,1769,-703,654
5,2000,12,8,348,1931,1979,1962,-342,1078
5,2000,10,2,314,420,803,1650,-514,772
5,2000,7,14,313,827,1424,1302,-143,376
5,2000,6,5,332,-357,239,528,-838,1639
5,2000,6,6,345,-123,359,1570,-840,971
5,2000,8,8,328,519,718,1894,-465,1555
