mode,game,total_BB,total_RB,total_grape,total_samai,max_samai,max_game,min_samai,min_game
1,2000,7,3,318,-316,321,1390,-567,421
1,2000,8,5,324,301,694,1500,-343,706
1,2000,4,4,310,-1153,262,861,-1155,1928
1,2000,11,2,356,1084,1265,1846,-1015,779
1,2000,3,4,329,-1363,294,50,-1363,2009
1,2000,5,4,348,-687,355,286,-687,2010
1,2000,8,7,340,555,822,1745,-333,1282
1,2000,5,6,343,-444,408,279,-448,2011
1,2000,7,3,298,-482,259,1128,-799,942
1,2000,6,5,336,-349,1,2,-1162,1844
1,2000,1,3,312,-2252,9,12,-2258,1999
1,2000,6,6,320,-295,851,369,-459,1642
1,2000,5,3,307,-1052,147,105,-1061,2003
1,2000,6,4,299,-696,436,323,-869,1658
1,2000,7,7,323,-15,460,680,-310,2002
1,2000,9,3,308,201,786,1321,-732,487
1,2000,6,3,290,-758,145,697,-850,1449
1,2000,5,11,318,-158,457,754,-477,1923
1,2000,5,8,321,-356,435,115,-356,2015
1,2000,9,4,302,260,968,1221,-435,289
1,2000,3,4,314,-1618,87,159,-1618,2009
1,2000,6,4,325,-589,0,0,-1067,1021
1,2000,7,7,318,60,438,1101,-218,143
1,2000,5,4,342,-698,161,191,-705,1465
1,2000,9,6,317,554,733,1896,-376,1033
1,2000,4,3,307,-1415,4,1,-1659,1961
1,2000,5,9,318,-410,312,3,-565,1278
1,2000,4,4,328,-1180,4,1,-1411,1606
1,2000,6,3,302,-757,8,2,-1608,1340
1,2000,11,3,285,673,900,1878,-738,767
1,2000,3,3,318,-1685,482,98,-1690,2005
1,2000,5,3,328,-959,530,608,-1103,1852
1,2000,12,7,281,1473,2107,1302,-127,63
1,2000,8,4,332,137,249,1924,-621,1002
1,2000,7,4,301,-376,4,1,-607,968
1,2000,10,1,336,584,1237,1258,-80,516
1,2000,8,5,345,345,448,1950,-808,915
1,2000,10,5,337,943,1161,1870,-165,103
1,2000,11,3,298,733,1024,1656,-497,352
1,2000,8,5,322,183,664,388,-107,1928
1,2000,3,2,344,-1507,1,3,-1720,1883
1,2000,8,2,305,-191,709,616,-403,1729
1,2000,9,5,311,458,993,1435,-228,341
1,2000,10,2,299,359,715,1785,-399,341
1,2000,4,3,322,-1274,0,0,-1341,1984
1,2000,8,5,302,50,451,1682,-444,693
1,2000,6,4,319,-559,474,350,-766,1656
1,2000,7,3,318,-355,512,355,-603,1356
1,2000,6,5,328,-381,481,320,-766,1715
1,2000,6,6,308,-414,403,459,-868,1729
1,2000,3,5,309,-1428,64,231,-1589,1918
1,2000,9,3,308,179,497,1085,-418,1778
1,2000,5,3,318,-876,296,14,-1399,1545
1,2000,3,7,305,-1298,2,5,-1300,2007
1,2000,10,3,306,574,991,1700,-656,946
1,2000,3,7,322,-1123,200,729,-1123,2010
1,2000,2,4,301,-1940,1,2,-1940,2007
1,2000,4,1,321,-1448,321,5,-1451,2001
1,2000,3,0,319,-1876,9,4,-1876,2003
1,2000,8,4,344,208,267,1965,-380,1129
