mode,game,total_BB,total_RB,total_grape,total_samai,max_samai,max_game,min_samai,min_game
6,2000,7,8,310,119,505,1757,-850,1104
6,2000,10,11,355,1712,1847,1922,-250,1041
6,2000,8,4,317,126,196,1634,-909,823
6,2000,8,6,319,238,1002,843,-161,98
6,2000,12,12,352,2461,2644,1901,-227,262
6,2000,7,15,337,1041,1965,1136,-127,140
6,2000,12,7,348,1738,2047,1456,-106,54
6,2000,6,9,333,144,623,1384,-791,613
6,2000,4,10,353,-260,131,817,-788,1852
6,2000,13,2,337,1618,2114,924,-165,123
6,2000,8,3,337,17,698,1105,-342,1829
6,2000,13,5,337,1885,2116,1849,-87,47
6,2000,12,6,320,1557,1993,1398,-285,562
6,2000,12,8,340,1862,1922,1891,-119,120
6,2000,7,9,332,351,434,1902,-200,593
6,2000,13,10,339,2435,2461,2018,-182,376
6,2000,5,10,317,-195,355,649,-415,1870
6,2000,7,8,335,281,551,1524,-526,773
6,2000,5,2,327,-1066,627,504,-1068,2004
6,2000,8,1,345,-47,552,463,-607,1964
6,2000,10,5,330,808,931,1959,-481,561
6,2000,4,6,316,-973,114,205,-1064,1996
6,2000,9,11,360,1439,1529,1962,-969,862
6,2000,8,8,341,643,934,1791,-103,62
6,2000,6,9,298,-119,397,232,-241,1309
6,2000,9,9,336,1015,1019,2016,0,0
6,2000,8,9,286,497,640,1926,-805,1234
6,2000,8,7,319,417,479,1939,-360,307
6,2000,10,5,335,942,1290,1055,-171,128
6,2000,8,7,309,357,691,1744,-365,805
6,2000,6,11,347,430,654,1512,-467,1008
6,2000,6,7,342,-168,397,10,-472,1427
6,2000,10,14,339,1815,1997,1569,-198,255
6,2000,11,9,320,1503,1604,1972,-406,425
6,2000,10,4,326,740,1672,824,-366,232
6,2000,10,7,318,1068,1254,1917,-770,795
6,2000,8,6,315,248,698,1507,-83,57
6,2000,2,13,347,-651,100,19,-885,1071
6,2000,7,3,337,-155,440,422,-451,353
6,2000,8,5,322,262,562,587,-133,93
6,2000,5,7,318,-489,9,4,-1212,1595
6,2000,6,13,331,553,784,1840,-169,113
6,2000,4,7,341,-664,1,10,-991,1647
6,2000,9,8,327,888,969,1944,-341,1171
6,2000,4,7,326,-814,527,479,-988,1748
6,2000,8,5,357,419,635,88,-414,1496
6,2000,7,6,321,88,552,400,-296,1834
6,2000,5,17,310,462,489,2001,-385,436
6,2000,6,8,317,-219,336,501,-315,985
6,2000,8,9,372,941,976,2006,-306,233
6,2000,10,11,338,1584,1733,1933,-419,783
6,2000,10,12,334,1603,1952,1797,-347,308
6,2000,6,9,292,-131,719,329,-429,1405
6,2000,8,6,323,284,1092,249,-21,18
6,2000,8,9,340,794,918,1864,-131,104
6,2000,6,8,316,-162,605,775,-531,612
6,2000,13,5,311,1715,1871,1890,-68,57
6,2000,6,12,317,348,832,1627,-101,119
6,2000,8,8,319,398,591,352,-160,1073
6,2000,6,14,323,518,634,364,-370,1537
6,2000,6,6,353,-27,347,335,-802,1434
6,2000,7,11,320,508,700,1260,-251,274
6,2000,7,8,337,360,856,1591,-425,447
6,2000,9,7,325,763,919,1886,-463,825
6,2000,6,13,334,542,905,1344,-280,239
6,2000,10,10,319,1362,1466,1576,-501,321
6,2000,8,12,313,844,904,1989,-15,15
6,2000,6,7,316,-230,148,70,-681,749
6,2000,11,11,348,2038,2234,1856,-291,236
6,2000,8,8,331,534,1068,679,-172,225
6,2000,12,2,343,1262,2064,1508,-115,119
6,2000,7,6,338,105,662,941,-189,367
6,2000,7,6,328,24,553,1266,-278,672
6,2000,7,14,333,838,1098,1835,-406,589
6,2000,11,9,349,1759,1857,1771,-263,1329
6,2000,6,9,319,-24,243,1817,-407,1223
6,2000,7,9,336,446,754,1795,-307,209
6,2000,10,11,320,1453,1671,1699,-227,174
6,2000,10,12,327,1623,1833,1798,-61,30
6,2000,6,10,333,203,388,239,-177,1956
6,2000,7,7,362,445,484,1991,-345,271
6,2000,10,5,323,897,1195,1507,-291,280
6,2000,9,9,340,1142,1164,2005,-490,458
6,2000,5,8,319,-447,4,1,-772,525
6,2000,10,12,307,1514,1550,1997,-63,908
6,2000,8,9,333,673,1180,727,-92,43
6,2000,10,16,322,1969,2034,1907,-317,341
6,2000,2,4,324,-1735,0,0,-1735,2007
6,2000,8,9,353,808,926,1287,-469,430
6,2000,7,7,343,231,978,1166,-170,2007
6,2000,3,8,341,-989,221,70,-1220,1475
6,2000,9,8,325,754,865,1938,-337,768
6,2000,12,5,319,1463,1742,1826,-265,210
6,2000,7,7,347,367,1078,1347,-82,82
6,2000,9,10,290,839,1267,1284,-288,422
6,2000,7,7,350,397,1011,1377,-126,90
6,2000,7,5,347,10,754,964,-114,171
6,2000,9,10,355,1289,1432,1906,-134,68
6,2000,6,5,313,-419,4,1,-711,977
6,2000,7,6,302,-192,244,612,-494,1567
6,2000,8,5,323,237,567,341,-261,263
6,2000,2,8,319,-1277,353,252,-1364,1993
6,2000,4,10,304,-650,504,504,-988,1954
6,2000,8,2,327,-25,947,233,-117,81
6,2000,10,15,321,1902,1995,1968,-451,702
6,2000,7,7,338,263,587,1487,-442,1029
6,2000,10,8,330,1239,1374,1576,-186,152
6,2000,9,7,337,827,892,1969,-549,1228
6,2000,7,8,320,213,1162,290,-233,1825
6,2000,11,7,333,1459,1617,1912,-355,413
6,2000,14,9,324,2598,2682,1934,-60,45
6,2000,9,8,354,1001,1387,1202,-17,15
6,2000,5,11,322,-199,283,474,-777,1677
6,2000,8,8,299,423,792,1352,-190,143
6,2000,3,7,347,-916,0,0,-1464,1502
6,2000,5,6,339,-522,1,2,-627,1971
6,2000,12,5,323,1378,1471,1515,-59,39
6,2000,6,10,381,466,725,1436,-140,166
6,2000,4,4,335,-1095,149,129,-1334,1957
6,2000,8,8,329,626,803,1529,-270,686
6,2000,12,3,331,1237,1389,1903,-115,433
6,2000,6,10,321,184,265,36,-932,1819
6,2000,8,14,322,1170,1896,1350,-345,402
6,2000,7,9,340,379,792,1259,-238,246
6,2000,7,11,337,548,880,1410,-167,182
6,2000,9,9,325,982,1023,1979,-282,243
6,2000,11,9,319,1546,1766,1877,-263,228
6,2000,4,8,326,-686,130,885,-996,2009
6,2000,5,4,314,-836,498,316,-836,2011
6,2000,5,9,361,-109,598,470,-430,1738
6,2000,7,6,334,86,224,51,-959,1837
6,2000,8,14,317,1146,1282,1933,-197,104
6,2000,3,11,340,-649,168,187,-960,1458
6,2000,4,7,313,-854,330,411,-854,2015
6,2000,7,5,317,-147,345,1324,-212,667
6,2000,7,12,294,453,1413,820,-278,284
6,2000,7,9,326,380,458,1960,-294,1201
6,2000,6,9,327,37,553,687,-667,1829
6,2000,5,10,316,-213,218,86,-742,1021
6,2000,8,10,327,728,799,1979,-715,767
6,2000,7,12,349,746,1129,1426,-660,984
6,2000,13,12,310,2481,2595,1949,-281,263
6,2000,12,8,353,1916,2061,1880,-155,210
6,2000,13,12,308,2471,2570,1887,-61,43
6,2000,9,10,321,1008,1034,2008,-277,786
6,2000,10,9,334,1364,1517,1526,-25,15
6,2000,7,5,346,38,379,312,-625,1324
6,2000,11,6,345,1493,1673,1557,-204,211
6,2000,9,6,335,770,1040,1814,-569,680
6,2000,12,8,329,1840,1856,2010,-38,34
6,2000,9,12,338,1270,1658,1475,-56,36
6,2000,11,9,344,1711,2116,1726,-63,105
6,2000,10,11,315,1447,1587,1948,-29,697
6,2000,8,7,317,478,926,1419,-432,875
6,2000,7,4,367,29,701,1147,-381,890
6,2000,4,11,334,-325,192,213,-543,1952
6,2000,9,13,355,1555,1657,1947,-312,737
6,2000,9,3,336,408,1149,1108,-342,250
6,2000,11,5,322,1097,1657,1113,-303,286
6,2000,7,7,324,65,132,1963,-623,754
6,2000,7,6,307,-70,4,1,-702,1441
6,2000,11,8,332,1461,1618,1854,-34,14
6,2000,4,6,320,-915,0,0,-1731,1608
6,2000,6,7,326,-145,1014,451,-171,1965
6,2000,13,9,323,2225,2377,1888,-403,554
6,2000,11,9,334,1713,2028,1782,-351,283
6,2000,8,9,315,613,773,379,-30,1395
6,2000,6,11,331,365,544,1347,-227,190
6,2000,4,6,363,-649,266,31,-1004,1443
6,2000,12,8,319,1802,2112,1511,-28,15
6,2000,7,7,311,65,560,1022,-294,712
6,2000,11,12,332,1950,2046,1864,-65,32
6,2000,8,7,325,467,623,1819,-126,1033
6,2000,5,3,339,-716,104,21,-1087,1722
6,2000,6,10,331,225,415,1276,-623,786
6,2000,11,8,323,1399,1642,1888,-390,397
