mode,game,total_BB,total_RB,total_grape,total_samai,max_samai,max_game,min_samai,min_game
2,2000,9,4,327,426,517,1615,-502,571
2,2000,6,7,331,-134,139,1846,-633,1659
2,2000,5,7,321,-666,37,56,-1265,1740
2,2000,5,5,311,-784,0,0,-1598,1811
2,2000,11,9,323,1567,1673,1886,-347,1247
2,2000,9,8,295,706,1040,1421,-285,206
2,2000,5,8,307,-521,0,0,-1067,1191
2,2000,2,7,310,-1515,2,5,-1845,1873
2,2000,5,5,322,-682,296,10,-765,1988
2,2000,9,5,347,680,735,1966,-900,1061
2,2000,7,10,344,578,816,1688,-189,147
2,2000,8,9,287,346,600,1803,-671,413
2,2000,12,4,318,1196,1646,1741,-17,14
2,2000,3,7,325,-1189,114,51,-1190,1993
2,2000,14,10,331,2497,2549,1994,-57,44
2,2000,11,5,309,941,1107,1221,-271,277
2,2000,9,9,314,876,1097,1891,-936,922
2,2000,8,8,294,297,871,1394,-74,77
2,2000,7,6,317,-92,682,197,-209,1409
2,2000,8,9,329,646,831,1853,-379,467
2,2000,7,3,325,-360,726,1053,-403,479
2,2000,13,6,316,1857,2178,1500,-150,403
2,2000,7,3,324,-284,285,1108,-590,2006
2,2000,13,5,323,1759,2035,1825,-31,42
2,2000,5,2,333,-1014,4,1,-1021,2005
2,2000,6,4,321,-406,528,558,-406,2012
2,2000,8,5,329,145,493,1735,-613,1327
2,2000,12,5,311,1404,1417,2011,-427,552
2,2000,4,4,314,-1222,0,0,-1222,2009
2,2000,9,7,340,821,1457,1478,-427,643
2,2000,7,7,331,206,1279,697,-31,25
2,2000,5,4,331,-760,4,1,-1465,1096
2,2000,5,3,314,-1044,4,1,-1232,1003
2,2000,6,7,340,-80,426,920,-616,1936
2,2000,7,2,313,-498,324,438,-498,2009
2,2000,6,8,335,44,544,822,-374,308
2,2000,5,5,329,-592,118,1196,-875,1997
2,2000,6,5,335,-319,0,0,-920,1165
2,2000,6,4,327,-488,259,370,-685,1937
2,2000,6,5,336,-382,94,708,-792,622
2,2000,8,4,320,11,326,180,-459,815
2,2000,10,5,327,774,1013,1818,-437,263
2,2000,6,3,305,-733,132,1189,-999,1973
2,2000,10,9,318,1273,1338,1981,-294,310
2,2000,3,3,304,-1638,146,434,-1916,1990
2,2000,4,7,318,-802,60,159,-1328,1695
2,2000,11,5,300,1029,1127,1957,-246,398
2,2000,8,2,322,-159,863,597,-510,348
2,2000,7,8,336,250,592,957,-211,1720
2,2000,9,6,337,662,968,1504,-517,534
2,2000,5,5,322,-626,409,635,-667,1761
2,2000,5,4,316,-874,241,53,-1079,1910
2,2000,8,7,322,416,727,1731,-344,490
2,2000,4,6,334,-924,295,975,-924,2010
2,2000,8,3,310,-118,993,1168,-118,2012
2,2000,10,6,310,855,1425,713,-90,58
2,2000,8,6,310,161,293,1851,-692,1330
2,2000,7,3,295,-451,655,809,-749,1706
2,2000,6,4,316,-566,393,424,-576,1762
2,2000,7,7,317,59,171,1901,-957,742
2,2000,9,4,347,592,782,1740,-360,765
2,2000,7,7,317,108,838,961,-148,1883
2,2000,7,2,322,-448,272,526,-463,1797
2,2000,5,5,337,-654,41,1182,-846,1867
2,2000,1,8,320,-1669,245,142,-1673,2009
2,2000,13,8,319,2053,2525,1597,-26,13
2,2000,5,5,334,-645,183,966,-689,1784
2,2000,6,3,289,-874,0,0,-1124,1233
2,2000,7,13,326,778,918,1736,-214,1213
2,2000,5,8,306,-503,654,768,-511,2015
2,2000,8,1,311,-365,8,2,-870,584
2,2000,10,8,333,1315,1492,1866,-66,76
2,2000,5,6,355,-404,429,1323,-404,2012
2,2000,5,9,305,-481,573,587,-648,1522
2,2000,10,9,320,1221,1267,1988,-554,577
2,2000,2,10,317,-1207,30,68,-1207,2013
2,2000,10,4,353,888,1319,1667,-93,64
2,2000,8,6,342,526,1020,1275,-202,384
2,2000,3,2,332,-1641,2,4,-1642,2009
2,2000,10,7,297,799,991,1813,-262,1361
2,2000,8,4,345,281,959,751,-30,17
2,2000,7,7,293,-98,221,1798,-754,1285
2,2000,6,9,343,123,361,1840,-376,1078
2,2000,5,4,298,-978,412,669,-978,2013
2,2000,9,10,309,887,1057,1902,-313,1430
2,2000,5,0,310,-1358,125,529,-1587,1954
2,2000,11,6,336,1395,1469,1900,-136,108
2,2000,6,2,334,-596,62,785,-899,1729
2,2000,3,1,318,-1811,9,9,-1811,2004
2,2000,6,4,309,-619,0,0,-1120,1284
2,2000,9,4,328,385,513,1192,-749,848
2,2000,6,7,295,-455,209,965,-628,653
2,2000,7,6,311,-114,473,865,-676,1815
2,2000,11,3,350,1165,1230,1971,-99,95
2,2000,8,9,307,496,960,1062,-133,140
2,2000,8,2,315,-168,776,882,-382,282
2,2000,11,5,321,1189,1348,1817,-208,1095
2,2000,5,3,319,-999,713,661,-999,2009
2,2000,8,3,296,-144,969,503,-144,2013
2,2000,7,9,362,525,830,1495,-343,336
2,2000,11,4,306,968,1696,1148,-134,62
2,2000,4,9,313,-624,128,570,-625,2013
2,2000,6,8,321,-159,328,965,-198,1836
2,2000,11,2,336,949,1271,929,-134,74
2,2000,5,5,297,-932,553,68,-936,2010
2,2000,7,7,335,110,367,1023,-640,591
2,2000,4,6,324,-936,335,133,-936,2011
2,2000,8,11,336,862,1044,1809,-864,877
